Mr. Davis, Incheon, Kim Jeong, 2011-10-14, 5th Dan, STU4939
Master Kim, Los Angeles, Davis Johnson, 2009-06-07, 5th Dan, STU7863
Grand Master Lee, Mumbai, Davis Davis, 2006-07-01, 10th Dan, STU9860
Grand Master Park, Beijing, Smith Choi, 2006-04-28, 4th Dan, STU3225
Grand Master Park, Tokyo, Park Jeong, 2009-03-23, 6th Dan, STU9666
Mr. Davis, Incheon, Brown Lee, 2004-02-26, 10th Dan, STU6332
Grand Master Brown, Seoul, Davis Williams, 2017-02-10, 10th Dan, STU3616
Ms. Johnson, Busan, Choi Davis, 2020-03-14, 4th Dan, STU1268
Master Kim, Los Angeles, Lee Park, 2009-05-14, 4th Dan, STU4017
Mrs. Williams, Sydney, Lee Park, 2001-02-11, 2th Dan, STU3891
Master Smith, Sydney, Brown Choi, 2010-12-12, 9th Dan, STU2257
Mrs. Lee, Busan, Park Davis, 2004-10-15, 8th Dan, STU1233
Mr. Davis, London, Brown Brown, 2003-12-09, 1th Dan, STU6243
Mr. Johnson, Tokyo, Park Johnson, 2010-09-16, 7th Dan, STU6470
Grand Master Brown, Seoul, Johnson Choi, 2000-01-20, 10th Dan, STU2723
Mr. Kim, Busan, Johnson Johnson, 2009-10-03, 1th Dan, STU1975
Mrs. Choi, Mumbai, Park Park, 2002-10-01, 4th Dan, STU7155
Mr. Davis, Busan, Park Brown, 2008-05-15, 7th Dan, STU8143
Mr. Davis, Mumbai, Park Brown, 2020-03-26, 2th Dan, STU8176
Mr. Davis, London, Jeong Davis, 2008-06-21, 4th Dan, STU1187
Master Smith, Mumbai, Lee Smith, 2011-08-25, 3th Dan, STU6713
Ms. Brown, Los Angeles, Kim Williams, 2023-10-23, 9th Dan, STU4045
Mr. Kim, London, Johnson Choi, 2011-09-25, 4th Dan, STU5866
Master Kim, Seoul, Park Brown, 2006-03-15, 9th Dan, STU3732
Master Kim, Tokyo, Johnson Davis, 2003-05-16, 10th Dan, STU9225
Mr. Davis, Seoul, Park Davis, 2007-12-15, 3th Dan, STU6668
Mr. Smith, Incheon, Lee Smith, 2011-12-25, 4th Dan, STU7852
Mr. Smith, Mumbai, Brown Johnson, 2000-05-05, 10th Dan, STU2796
Grand Master Brown, Tokyo, Jeong Smith, 2005-06-17, 4th Dan, STU2956
Mrs. Lee, Tokyo, Choi Smith, 2019-02-01, 6th Dan, STU6495
